-------------------------------------------------------------------------------------------------------------------------------------------------
| x                                                                         | y                                                                 |
=================================================================================================================================================
| <http://www.semanticweb.org/tp11501203/owl/ontology#Accounting>           | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Product>              | owl:Thing                                                         |
| :Partner                                                                  | <http://www.semanticweb.org/tp11501203/owl/ontology#Person>       |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Research>             | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Intern>               | <http://www.semanticweb.org/tp11501203/owl/ontology#Person>       |
| <http://www.semanticweb.org/tp11501203/owl/ontology#MPC>                  | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Board>                | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Person>               | owl:Thing                                                         |
| <http://www.semanticweb.org/tp11501203/owl/ontology#StatisticalBroadcast> | <http://www.semanticweb.org/tp11501203/owl/ontology#Service>      |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Staff>                | <http://www.semanticweb.org/tp11501203/owl/ontology#Person>       |
| <http://www.semanticweb.org/tp11501203/owl/ontology#ExecutiveComminity>   | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#NonProfit>            | <http://www.semanticweb.org/tp11501203/owl/ontology#Organization> |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Logistic>             | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Legal>                | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Business>             | <http://www.semanticweb.org/tp11501203/owl/ontology#Organization> |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Service>              | owl:Thing                                                         |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Partnership>          | <http://www.semanticweb.org/tp11501203/owl/ontology#Business>     |
| <http://www.semanticweb.org/tp11501203/owl/ontology#HumanResources>       | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Governor>             | <http://www.semanticweb.org/tp11501203/owl/ontology#Person>       |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Branches>             | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Statistics>           | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#AuditComminity>       | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Public>               | <http://www.semanticweb.org/tp11501203/owl/ontology#Organization> |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Comminication>        | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Private>              | <http://www.semanticweb.org/tp11501203/owl/ontology#Organization> |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Organization>         | owl:Thing                                                         |
| <http://www.semanticweb.org/tp11501203/owl/ontology#PaymentSystems>       | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Corporation>          | <http://www.semanticweb.org/tp11501203/owl/ontology#Business>     |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Department>           | owl:Thing                                                         |
| <http://www.semanticweb.org/tp11501203/owl/ontology#DeputyGovernor>       | <http://www.semanticweb.org/tp11501203/owl/ontology#Person>       |
| <http://www.semanticweb.org/tp11501203/owl/ontology#MPCdecision>          | <http://www.semanticweb.org/tp11501203/owl/ontology#Service>      |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Banking>              | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Banknote>             | <http://www.semanticweb.org/tp11501203/owl/ontology#Product>      |
| <http://www.semanticweb.org/tp11501203/owl/ontology#GeneralAssembly>      | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
| <http://www.semanticweb.org/tp11501203/owl/ontology#ComminityMember>      | <http://www.semanticweb.org/tp11501203/owl/ontology#Person>       |
| <http://www.semanticweb.org/tp11501203/owl/ontology#IT>                   | <http://www.semanticweb.org/tp11501203/owl/ontology#Department>   |
-------------------------------------------------------------------------------------------------------------------------------------------------
