-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| ind                                                                       | type                                                                    | class                                                           |
=========================================================================================================================================================================================================================
| _:b0                                                                      | owl:AllDisjointProperties                                               |                                                                 |
| _:b1                                                                      | owl:AllDisjointProperties                                               |                                                                 |
| _:b2                                                                      | owl:AllDisjointProperties                                               |                                                                 |
| _:b3                                                                      | owl:AllDisjointClasses                                                  |                                                                 |
| _:b4                                                                      | owl:AllDisjointClasses                                                  |                                                                 |
| _:b5                                                                      | owl:AllDisjointClasses                                                  |                                                                 |
| _:b6                                                                      | owl:AllDisjointClasses                                                  |                                                                 |
| _:b7                                                                      | owl:AllDisjointClasses                                                  |                                                                 |
| :                                                                         | owl:Ontology                                                            |                                                                 |
| :Arastirma                                                                | owl:NamedIndividual                                                     |                                                                 |
| :Bankacilik                                                               | owl:NamedIndividual                                                     |                                                                 |
| :Bilisim                                                                  | owl:NamedIndividual                                                     |                                                                 |
| :DenetlemeKomitesi                                                        | owl:NamedIndividual                                                     |                                                                 |
| :GenelKurul                                                               | owl:NamedIndividual                                                     |                                                                 |
| :Hukuk                                                                    | owl:NamedIndividual                                                     |                                                                 |
| :Iletisim                                                                 | owl:NamedIndividual                                                     |                                                                 |
| :InsanKaynaklari                                                          | owl:NamedIndividual                                                     |                                                                 |
| :Istatistik                                                               | owl:NamedIndividual                                                     |                                                                 |
| :Lojistik                                                                 | owl:NamedIndividual                                                     |                                                                 |
| :Muhasebe                                                                 | owl:NamedIndividual                                                     |                                                                 |
| :OdemeSistemleri                                                          | owl:NamedIndividual                                                     |                                                                 |
| :ParaPolitikasiKurulu                                                     | owl:NamedIndividual                                                     |                                                                 |
| :Partner                                                                  | owl:Class                                                               |                                                                 |
| :Subeler                                                                  | owl:NamedIndividual                                                     |                                                                 |
| :UstKurul                                                                 | owl:NamedIndividual                                                     |                                                                 |
| :YonetimKomitesi                                                          | owl:NamedIndividual                                                     |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Accounting>           | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#AuditComminity>       | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Banking>              | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Banknote>             | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#BirthDate>            | owl:DatatypeProperty                                                    |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Board>                | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Branches>             | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Business>             | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Comminication>        | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#ComminityMember>      | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Corporation>          | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Department>           | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#DeputyGovernor>       | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#DogumTarihi>          | owl:DatatypeProperty                                                    |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#ExecutiveComminity>   | owl:Class                                                               |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#FirstName>            | owl:DatatypeProperty                                                    |                                                                 |
| <http://www.semanticweb.org/tp11501203/owl/ontology#Gender>               | owl:DatatypeProperty                                                    |                                                                 |
